All,הכל
"Please sign in to download your product.","אנא התחבר לחשבון כדי להוריד את המוצר שלך."
"The link has expired.","הקישור פג תוקף."
"The link is not available.","הקישור אינו זמין."
"Sorry, there was an error getting requested content. Please contact the store owner.","מצטערים, הייתה שגיאה בקבלת התוכן המבוקש. נא ליצור קשר עם בעל החנות."
"Please set resource file and link type.","אנא הגדר את קובץ המקור וסוג הקישור."
"Invalid download link type.","סוג הקישור להורדה לא חוקי."
"Provided content must be valid base64 encoded data.","תוכן שסופק חייב להיות נתונים המקודדים באמצעות base64 בתוקף."
"Provided file name contains forbidden characters.","שם הקובץ שהתקבל מכיל תווים אסורים."
"Link file not provided","קובץ קישור לא התקבל"
"Link price must have numeric positive value.","קישור המחיר חייב להיות ערך חיובי מספרי."
"Number of downloads must be a positive integer.","מספר ההורדות חייב להיות מספר שלם חיובי."
"Sort order must be a positive integer.","סדר המיון חייב להיות מספר שלם חיובי."
"Link URL must have valid format.","קישור URL חייב להיות בתבנית חוקית."
"Provided file content must be valid base64 encoded data.","הקובץ שהתקבל חייב להיות נתונים המקודדים באמצעות base64 בתוקף."
"Sample URL must have valid format.","לדוגמה URL חייב להיות בתבנית חוקית."
"Order id cannot be null","מזהה ההזמנה אינו יכול להיות ריק"
"Order item id cannot be null","מזהה פריט סדר אינו יכול להיות ריק"
"Please specify product link(s).","נא ציין את קישורי המוצר."
"Sample file not provided","הקובץ לדוגמה לא התקבל"
attachment,מצורף
inline,"בתוך השורה"
Pending,ממתינה
"To enable the option set the weight to no","כדי לאפשר את האפשרות יש לסמן את המשקל בערך ״לא״"
"Is this downloadable Product?","האם זה מוצר להורדה?"
Links,קישורים
"Links can be purchased separately","קישורים ניתן לרכוש בנפרד"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","אותיות אלפא-נומריים, מקף ותווים תחתון מומלץ עבור הגדרת שמות קבצים. תווים לא תקין, הוחלפו ב '_'."
"Add Link","הוספת קישור"
Sample,דוגמה
Shareable,"ניתן לשיתוף"
"Max. Downloads","מקסימום הורדות"
Samples,דגימות
sample,דוגמית
"Add links to your product files here.","הוסף קישורים לקבצים המוצר שלך כאן."
"Attach File or Enter Link","צרף קובץ או הזינו קישור"
"Add product preview files here.","הוסף קבצי תצוגה מקדימה המוצר כאן."
"Unselect all","בטל בחירה של הכל"
"Go to <a href=""%1"">My Downloadable Products</a>","עבור ל-<a href=""%1""> מוצרים שלי להורדה</a>"
"Downloadable Products","מוצרים להורדה"
"Remaining Downloads","הורדת הנותרים"
"View Order","	הצג הזמנה"
"Start Download","התחל הורדה"
"You have not purchased any downloadable products yet.","עדיין לא רכשת כל המוצרים להורדה."
download,להורדה
"Downloadable Product Section","אזור מוצר להורדה"
Downloads,הורדות
"Downloadable Product Options","אפשרויות המוצר להורדה"
"Order Item Status to Enable Downloads","סטטוס פריט ההזמנה כדי לאפשר הורדות"
"Default Maximum Number of Downloads","מספר הורדות המרבי המוגדר כברירת מחדל"
"Default Sample Title","כותרת ברירת מחדל לדוגמה"
"Default Link Title","ברירת מחדל של כותרת הקישור"
"Open Links in New Window","פתיחת הקישורים בחלון חדש"
"Use Content-Disposition","השתמש בתוכן ממוזג"
"Disable Guest Checkout if Cart Contains Downloadable Items","לבטל רכישת אורח אם העגלה מכילה פריטיפ להורדה"
"Guest checkout will only work with shareable.","רכישת אורח תופעל רק עם מוצרים משותפים."
"Default Label","תוית ברירת מחדל"
"Default label","תוית ברירת מחדל"
"Values Required","הערכים הנדרשים"
"Decimal Number","מספר עשרוני"
"Integer Number","מספר שלם"
Letters,אותיות
"Letters (a-z, A-Z) or Numbers (0-9)","אותיות (a-z, A-Z) או מספרים (0-9)"
"Input type ""%value%"" not found in the input types list.","סוג הקלט ""%value%"" לא נמצא ברשימה סוגי קלט."
"Entity object is undefined","יישות האובייקט אינה מוגדרת"
"""%1"" is not a valid image format","""%1"" הוא לא פורמט תמונה בתוקף"
"""%1"" cannot contain more than %2 lines.","""%1"" אינו יכול להכיל יותר מאשר %2 קווים."
"Invalid entity_type specified: %1","Entity_type לא חוקי צוין: %1"
"Entity is not initialized","ישות לא אותחלה"
"Unique constraint violation found","הפרה אילוץ ייחודי נמצאו"
"The attribute code '%1' is reserved by system. Please try another attribute code","הקוד תכונה '%1' שמור על-ידי המערכת. אנא נסה קוד תכונה נוסף"
"Source model ""%1"" not found for attribute ""%2""","מודל מקור ""%1"" לא נמצא עבור התכונה ""%2"""
"Invalid date","תאריך לא תקין"
"No options found.","אין אפשרויות שנמצאו."
"Invalid attribute identifier for filter (%1)","מזהה של תכונה לא חוקית עבור מסנן (%1)"
"Joint field or attribute expression with this alias is already declared","הביטוי של שדה או התכונה המשותפת עם כינוי זה הוצהר בעבר"
"Invalid alias, already exists in joint attributes","כינוי לא חוקי, כבר קיימת בתכונות משותפות"
"A joined field with this alias is already declared.","שדה מצורף עם כינוי זה הוצהר כבר."
"Invalid joint fields","שדות משותפים לא חוקים"
"Invalid character encountered in increment ID: %1","תו לא חוקי התקבל במזהה מקודם: %1"
"The current module pathname is undefined.","המודול pathname הנוכחי אינו מוגדר."
"The current module EAV entity is undefined.","המודול הנוכחי מכיל ישות EAV שאינה מוגדרת."
"The form code is not defined.","קוד הטופס אינו מוגדר."
"The entity instance is not defined.","יישות המופע אינו מוגדר."
"Attribute with the same code","תכונה עם אותו הקוד"
"The storefront label is not defined.","התווית בתצוגת החנות אינה מוגדרת."
"Form Element with the same attribute","רכיב טופס עם אותה תכונה"
"Form Fieldset with the same code","סט שדות בטופס עם אותו קוד"
"Form Type with the same code","סוג טופס עם אותו קוד"
"The value of attribute ""%1"" is invalid.","הערך של תכונת ""%1"" הוא לא חוקי."
"AttributeSet does not exist.","AttributeSet אינו קיים."
hello,שלום
"Some internal exception message.","הודעת חריגה פנימית."
"The value of attribute not valid","הערך של תכונה לא חוקי"
"EAV types and attributes","סוגי EAV ותכונות"
"Entity types declaration cache","הגדרת סוגי יישות עבור מטמון"
"There is no such data mapper ""%1"" for interface %2","לא קיים ממפה בשם ""%1"" עבור הממשק %2"
"Data mapper ""%1"" must implement interface %2","ממפה הנתונים ""%1"" חייב ליישם את הממשק %2"
"Could not ping search engine: %1","לא יכול לתת פינג במנוע החיפוש: %1"
"Elasticsearch Server Hostname","שם המארח של השרת Elasticsearch"
"Elasticsearch Server Port","פורט השרת Elasticsearch"
"Elasticsearch Index Prefix","קידומת אינדקס Elasticsearch"
"Enable Elasticsearch HTTP Auth","אפשר אימות HTTP ל-Elasticsearch"
"Elasticsearch HTTP Username","שם משתמש Elasticsearch לHTTP"
"Elasticsearch HTTP Password","הסיסמה HTTP Elasticsearch"
"Elasticsearch Server Timeout","הזמן הקצוב של השרת Elasticsearch"
"Test Connection","בדיקת חיבור"
"Add New Template","להוסיף תבנית חדשה"
"Transactional Emails","מיילים של עסקאות"
"Delete Template","למחוק תבנית"
"Convert to Plain Text","המר לטקסט רגיל"
"Return Html Version","החזר את גרסת Html"
"Preview Template","תצוגה מקדימה של תבנית"
"Save Template","שמירת תבנית"
"Load Template","טעינת תבנית"
"Edit Email Template","ערוך תבנית דואר אלקטרוני"
"New Email Template","תבנית דואר אלקטרוני החדשה"
"Template Information","מידע אודות התבנית"
"Currently Used For","כיום משמש"
"Template Name","שם תבנית"
"Template Subject","נושא תבנית"
"Insert Variable...","הוסף משתנה..."
"Template Content","תוכן התבנית"
"Template Styles","סטייל תבנית"
"You deleted the email template.","מחקת את תבנית הדואר האלקטרוני."
"The email template is currently being used.","תבנית הדואר האלקטרוני נמצא כעת בשימוש."
"We can't delete email template data right now. Please review log and try again.","איינו יכולים למחוק נתונים בתבנית המיילים עכשיו. נא בדוק את הקובץ הלוג ונסה שוב."
"We can't find an email template to delete.","אינני יכולים למצוא את התבנית המייל למחיקה."
"Edit Template","ערוך תבנית"
"Edit System Template","עריכת תבנית מערכת"
"New Template","תבנית חדשה"
"New System Template","תבנית מערכת חדשה"
"Email Templates","תבניות אימייל"
"Email Preview","תצוגה מקדימה של דואר אלקטרוני"
"An error occurred. The email template can not be opened for preview.","אירעה שגיאה. לא ניתן לפתוח את תבנית הדואר האלקטרוני עבור תצוגה מקדימה."
"This email template no longer exists.","תבנית דואר אלקטרוני זו כבר לא קיימת."
"You saved the email template.","שמרת את תבנית דואר אלקטרוני."
"Template Variables","משתני תבנית"
"Please enter a template name.","אנא הזינו שם תבנית."
"Duplicate Of Template Name","שכפול של שם תבנית"
"Invalid transactional email code: %1","דוא""ל עסקה לא חוקי קוד: %1"
"Requested invalid store ""%1""","בקשת חנות לא תקינה ""%1"""
"""file"" parameter must be specified","יש לציין פרמטר ""קובץ"""
"""file"" parameter must be specified and must not be empty","יש לציין פרמטר ""קובץ"" והוא אינו יכול להיות ריק"
"Design params must be set before calling this method","עיצוב הפרמטרים חייב להיות מוגדר לפני קריאה לפעולת השיטה"
"CSS inlining error:","שגיאה בשורת ה-CSS:"
"Error filtering template: %s","שגיאה בסינון תבנית: %s"
"Invalid sender data","נתוני השולח לא חוקיים"
"Are you sure you want to strip tags?","האם אתה בטוח שברצונך להסיר תגים?"
"Are you sure you want to delete this template?","האם אתה בטוח כי ברצונך למחוק את תבנית זו?"
"The template did not load. Please review the log for details.","התבנית לא נטענה. נא עיין בלוג לפרטים."
"Thank you, %store_name",". תודה לך, %store_name"
"No Templates Found","אין תבניות שנמצאו"
"Template Type","סוג התבנית"
"Logo Image","תמונת לוגו"
"Logo Image Alt","Alt תמונת לוגו"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","נחוץ רק אם תמונה שהועלתה לעיל. הזן מספר פיקסלים, ללא צירוף ""px""."
"Logo Width","רוחב לוגו"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","נחוץ רק אם תמונה שהועלתה לעיל. הזן גודל גובה התמונה בפיקסלים ללא צירוף ""px""."
"Logo Height","גובה לוגו"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","תבנית הדואר האלקטרוני שנבחרה בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"Header Template","כותרת התבנית"
"Footer Template","תבנית הכותרת התחתונה"
"Change Encryption Key","שנה מפתח הצפנה"
"Encryption Key","מפתח ההצפנה"
"New Encryption Key","מפתח ההצפנה החדש"
"The encryption key is used to protect passwords and other sensitive data.","מפתח ההצפנה משמש כדי להגן על סיסמאות ונתונים רגישים אחרים."
"Auto-generate a Key","צור מפתח רנדומלי"
"The generated key will be displayed after changing.","המפתח שנוצר יוצג לאחר שינוי."
"New Key","מפתח חדש"
"Deployment configuration file is not writable.","קובץ של פריסה אינו ניתן לכתיבה."
"Please enter an encryption key.","הזן בבקשה את מפתח ההצפנה."
"The encryption key has been changed.","מפתח ההצפנה שונה."
"This is your new encryption key: %1. Be sure to write it down and take good care of it!",". זה מפתח ההצפנה החדש שלך: %1. הקפד לכתוב את זה, שמור עליו!"
"Manage Encryption Key","נהל את מפתח ההצפנה"
"Private Sales","מחירות פרטיות"
"Address Verification","אימות כתובת"
"Email Verification","אימות דואר אלקטרוני"
"Mobile Verification","אימות ניידים"
"Phone Verification","אימות טלפון"
"Response Code","קוד תגובה"
"Fraud Message","הודעת הונאה"
"Approve Message","הודעה מאושרת"
"Wrong response type","תגובה שגוייה"
"Connection Type","סוג חיבור"
"Sandbox Mode","מודול Sandbox"
"Transaction has been declined, please, try again later.","העסקה נדחה, בבקשה, נסה שוב מאוחר יותר."
"Switch/Solo/Maestro Only","החלפה/סולו/מאסטרו בלבד"
"Issue Number","מספר מקרה"
"Europe First Priority","עדיפות ראשונה באירופה"
"1 Day Freight","1 יום הובלה"
"2 Day Freight","2 ימי הובלה"
"2 Day","2 ימים"
"2 Day AM","2 ימים AM"
"3 Day Freight","3 ימי הובלה"
"Express Saver","שומר אקספרס"
Ground,בסיס
"First Overnight","הראשון בין לילה"
"Home Delivery","משלוח הביתה"
"International Economy","כלכלה בינלאומית"
"Intl Economy Freight","חברת שילוח בינלאומית"
"International First","בינלאומי קודם"
"International Ground","בינלאומי קרקעי"
"International Priority","עדיפות בינלאומית"
"Priority Overnight","עדיפות בין לילה"
"Smart Post","דואר חכם"
"Regular Pickup","איסוף רגיל"
"Business Service Center","מרכז שירות עסקי"
"Not Required","לא נדרש"
Adult,מבוגר
Direct,ישיר
"For some reason we can't retrieve tracking info right now.","מסיבה כלשהי אנחנו אין אפשרות לשחזר את מספר החבילה עכשיו."
status,מצב
"Empty response","תגובה ריקה"
Key,מפתח
"Allowed Methods","שיטות מותרות"
"Gift Card Information","פרטי כרטיס מתנה"
Virtual,וירטואלי
Physical,פיזיות
Combined,שילוב
"Add Amount","להוסיף כמות"
"Gift Card Type","סוג כרטיס מתנה"
"Gift Card Sender","שולח כרטיס המתנה"
"Gift Card Recipient","נמען כרטיס מתנה"
"Gift Card Message","הודעת כרטיס מתנה"
"Gift Card Lifetime","כרטיס מתנה לאורך כל הזמן"
"Gift Card Is Redeemable","השובר ניתן למימוש"
"We cannot create this gift card.","אנחנו לא יכולים ליצור כרטיס מתנה זה."
"Gift Card Accounts","חשבונות כרטיסי מתנה"
"Please specify all the required information.","נא לציין את כל המידע הנדרש."
"Gift Card max amount is %1","סכום מקסימום של כרטיס מתנה הוא %1"
"Please specify a recipient name.","נא להזין שם נמען."
"Please specify a sender name.","נא לציין שם שולח."
"Allow Message","אפשר הודעה"
"Other Amount...","סכום אחר..."
"Recipient Name","שם נמען"
"Recipient Email","דוא״ל נמען"
"Maximum length of the message is %1 characters.","האורך המירבי של ההודעה הוא %1 תווים."
"Gift Cards","כרטיסי מתנה"
"Allow Gift Message","לאפשר הודעת מתנה"
"Gift Message Maximum Length","האורך המרבי של הודעה מתנה"
"Add Gift Card Account","הוסף חשבון כרטיס מתנה"
"Save & Send Email","שמור ושלח אימייל"
"Edit Gift Card Account: %1","עריכת חשבון כרטיס מתנה: %1"
"New Gift Card Account","חשבון חדש של כרטיס מתנה"
Information,מידע
"Gift Card Code","קוד כרטיס מתנה"
"Send Gift Card","שלח כרטיס מתנה"
History,היסטוריה
"New Account","חשבון חדש"
"You deleted a total of %1 records.","מחקת סך הכל %1 רשומות."
"Gift Card ""%1"" was removed.","כרטיס מתנה ""%1"" הוסרה."
"You can't remove this gift card.","לא ניתן להסיר את כרטיס המתנה."
"Gift Card ""%1"" was redeemed.","כרטיס מתנה ""%1"" מומש."
"The expiration date must be set in the future.","יש להגדיר את תאריך התפוגה לתאריך עתידי."
"This gift card account wasn't found in the quote.","בחשבון כרטיס המתנה לא היה ניתן למצוא את שווי הכרטיס."
Available,זמין
Expired,"לא בתוקף"
"Order #%1.","הזמנה #%1."
"Recipient: %1.","נמען: %1."
"You can't redeem a gift card now.","אתה לא יכול לממש את כרטיס מתנה עכשיו."
Alphabetical,אלפאביתי
Numeric,ממוספר
"Are you sure you want to continue without saving your changes?","האם אתה בטוח שברצונך להמשיך מבלי לשמור את השינויים שביצעת?"
Generate,יצירה
"Add Gift Card","הוספת כרטיס מתנה"
"This won't take long . . .","זה לא ייקח הרבה זמן . . ."
"Gift Card: ","כרטיס מתנה: "
"Current Balance: ","יתרה נוכחית: "
"Expires: ","תוקף פג בעוד: "
"Add or remove gift cards","הוספה או הסרה של כרטיסי מתנה"
"Code Length","אורך קוד"
"Code Format","פורמט קוד"
"Code Prefix","קידומת קוד"
"Code Suffix","סיומת קוד"
"Unknown entity type","טיפוס לא ידוע"
"Test label","בדיקת תווית"
"Gift Options","אפשרויות מתנה"
"Do you have any gift items in your order?","יש לך פריטי מתנה בהזמנה שלך?"
"Gift Options for the Entire Order","אפשרויות מתנה עבור ההזמנה כולה"
"Leave this box blank if you don't want to leave a gift message for the entire order.","תשאיר תיבה זו ריקה, אם אתה לא רוצה להשאיר הודעה מתנה עבור ההזמנה כולה."
"Gift Options for Individual Items","אפשרויות מתנה עבור פריטים בודדים"
"<span>Item %1</span> of %2","<span>פריט %1</span> מ- %2"
"Leave a box blank if you don't want to add a gift message for that item.","השאר תיבה ריקה אם אינך רוצה להוסיף הודעת מתנה עבור פריט זה."
"Add Gift Options for the Entire Order","הוסף את אפשרויות המתנה עבור ההזמנה כולה"
"You can leave this box blank if you don't want to add a gift message for this address.","באפשרותך להשאיר את התיבה זה ריקה, אם אתה לא רוצה להוסיף הודעה מתנה עבור כתובת זו."
"You can leave this box blank if you don't want to add a gift message for the item.","באפשרותך להשאיר את התיבה זה ריקה, אם אתה לא רוצה להוסיף הודעה מתנה עבור כתובת זו."
"Are you sure you want to delete this gift registry?","האם אתה בטוח שברצונך למחוק את ההרשמה למתנה?"
"Delete Registry","מחיקת הרישום"
"Gift Registry Entity","ישות רישום המתנה"
"Product ID","מזהה מוצר"
"Add to Gift Registry","להוסיף לרישום מתנות"
"Are you sure you want to add these products?","האם אתה בטוח שברצונך להוסיף מוצרים אלה?"
Requested,המבוקש
Fulfilled,מילא
Note,פתק
"Update Quantity","עדכן כמות"
"Remove Item","הסר פריט"
"Sharing Information","שיתוף מידע"
Emails,אימיילים
"Send From","שלח טופס"
"Share Gift Registry","שתף רישום מתנות"
"Gift Registry","רישום מתנות"
Event,אירוע
Registrants,נרשמים
"Event Date","תאריך אירוע"
"Total Items","סהכ פריטים"
Remaining,הנותרים
Public,ציבורי
"Gift Registry Types","סוגי רישום מתנה"
"Add Gift Registry Type","הוסף סוג לרישום המתנה"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","אם תמחק את סוג רישום המתנה, הלקוח הנרשם אשר משתמש באותו הסוג יימחק גם הוא. האם אתה רוצה להמשיך?"
"Edit '%1' Gift Registry Type","ערוך את סוג הרישום מתנה '%1'"
"New Gift Registry Type","סוג חדש של רישום המתנה"
Short,קצר
Long,ארוך
Full,מלא
"Is Listed",ברשימה
"Edit Gift Registry","עריכתה רישום המתנה"
"Create Gift Registry","ליצור רישומי מתנות"
"Please select a region, state or province","נא בחר מדינה, אזור או מחוז"
"View Gift Registry %1","הצג את רישום המתנה %1"
"Share '%1' Gift Registry","שתף '%1' רישום מתנה"
"Gift Registry Search","חיפוש רישום המתנה"
"Select Search Type","בחר את סוג החיפוש"
Registrant,נרשם
"We can't add shopping cart items to the gift registry right now.","אין לנו אפשרות להוסיף פריטים בעגלת הקניות בתור כרטיס מתנה עכשיו."
"Edit '%1' Gift Registry","ערוך את סוג רישום המתנה '%1'"
"We can't update these gift registry items right now.","לא ניתן לעדכן פריטים עבור כרטיס מתנות עכשיו."
"Edit Type","ערוך טיפוס"
"New Type","סוג חדש"
"We can't save this gift registry type right now.","איננו יכולים לשמור את סוג כרטיס המתנה עכשיו."
"You saved this gift registry.","שמרת את רישום המתנה."
"Please enter a valid email address.","נא להזין כתובת אימייל תקינה."
"Please enter the correct ""%1"".","נא הזן את הנכון ""%1""."
"Custom Types","סוגים מותאמים אישית"
"Static Types","סוגים סטטיים"
"Product has required options.","למוצר יש אפשרויות נדרשות."
"You need to enter sender data.","עליך להזין נתונים עבור השולח."
Private,פרטי
"This product(s) is out of stock.","המוצר(ים) לא במלאי."
"An item option with code %1 already exists.","אופציית הפריט עם קוד %1 כבר קיימת."
New,חדש
"Please enter the first name.","אנא הזן את השם הפרטי."
"Please enter the last name.","אנא הזן את שם המשפחה."
"Please enter a valid email address(for example, daniel@x.com).","אנא הזינו כתובת דוא""ל חוקית (לדוגמה daniel@x.com)."
"Ship to the recipient's address.","שילוח לכתובת הנמען."
"-- All --","-- הכל --"
"All Forms","כל הטפסים"
Owner,בעלים
"Attribute Group","קבוצת תכונות"
"Is Required",נדרש
"Is Searcheable","ניתן לחיפוש"
"Select a shipping address from your address book or enter a new address.","בחר כתובת לחיוב מספר הכתובות שלך או הזן כתובת חדשה."
"Add All To Gift Registry","להוסיף את כל רישום המתנות"
"Ship to registrant's address","שלח לכתובת המקבל"
"Created On","נוצר ב"
"Manage Items","נהל פריטים"
Share,שתף
"You haven't created a gift registry yet.","עדיין לא יצרת כרטיס מתנה."
Sender,שולח
"Maximum %1 email addresses.","מקסימום %1 כתובות דוא""ל."
"Privacy Settings","הגדרות פרטיות"
"Required Fields","שדות חובה"
"Search Options","אפשרויות חיפוש"
"Search Results","תוצאות חיפוש"
Location,מיקום
"Search By","חיפוש לפי"
"Unit Price","מחיר יחידה"
"You have successfully created the new gift registry ""%registry_name"".","יצרת בהצלחה את כרטיס המתנה החדש ""% registry_name""."
"The following items have been purchased from your gift registry ""%registry_name"":","הפריטים הבאים נרכשו מכרטיס המתנה ""% registry_name"":"
"Use gift registry shipping address","השתמש ברישום מתנה בכתובת השילוח"
"General Options","אפשרויות כלליות"
"Gift Wrapping","עטיפת מתנה"
"Add Gift Wrapping","להוסיף עטיפת מתנה"
"Are you sure you want to delete this gift wrapping?","האם אתה בטוח שברצונך למחוק את עטיפת המתנה הזו?"
"Edit Gift Wrapping ""%1""","עריכת עטיפות מתנות ""%1"""
"New Gift Wrapping","עטיפת מתנה חדשה"
"Gift Wrapping Information","מידע עבור עטיפת מתנה"
"Gift Wrapping Design","עיצוב עטיפת מתנה"
"You have not uploaded the image.","לא העלת את התמונה."
"We can't save the gift wrapping right now.","אנחנו לא יכולים לשמור את עטיפת המתנה עכשיו."
"We can't update the image right now.","לא ניתן לעדכן את התמונה עכשיו."
"Printed Card","כרטיס מודפס"
"Leave a box blank if you don't want to add gift wrapping for whole order.","השאר תיבה ריקה אם אינך רוצה להוסיף עטיפת מתנה עבור כל הזמנה."
"Price Excl. Tax","המחיר לא כולל מס"
"Price Incl. Tax","המחיר כולל מס"
"Send Gift Receipt","לשלוח קבלה עבור המתנה"
"Add Printed Card","הוסף כרטיס מודפס"
"Gift Wrapping for the Entire Order","עטיפת המתנה עבור ההזמנה כולה"
"Other Gift Options","אפשרויות נוספות עבור המתנה"
"Gift wrapping","עטיפת מתנה"
"Printed card","כרטיס מודפס"
"No image","אין תמונה"
"Allow Printed Card","אפשר כרטיס מודפס"
"Gift Wrap Design","עיצוב עטיפת מתנה"
Constant,קבוע
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","ערך צבע ההמרה אינו חוקי ""%1"". אנא הגדר את הערך ההקסדצימלי בן 6 ספרות."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","ערך מזהה ההמרה אינו חוקי ""%1"". מזהה ההמרה צריך להיות שלם."
"Conversion ID","מזהה המרה"
"Conversion Language","המרת שפה"
"Conversion Format","המרת פורמט"
"Conversion Color","צבע המרה"
"Conversion Label","תווית המרה"
"Conversion Value Type","סוג ערך ההמרה"
"Conversion Value","ערך המרה"
"Google API","ממשק לגוגל"
"Product View Optimization","שיפור תצוגת מוצר"
"Page View Optimization","אופטימיזציה של תצוגת עמוד"
"Data key is missing: %1","מפתח הנתונים חסר: %1"
"Google Analytics Content Experiments Code","תוכן Google Analytics קוד ניסיוני"
"Experiment Code","קוד ניסיוני"
"Experiment code should be added to the original page only.","קוד הניסוי צריך להתווסף לדף המקורי בלבד."
"Enable Content Experiments","הפעלת תוכן ניסויים"
"Category View Optimization","מיטוב התצוגה בקטגוריה"
"Google Analytics Enhanced Ecommerce Settings","הגדרות Google Analytics לשיפור המסחר אלקטרוני"
"Send to Google","שלח ל- Google"
Creative,יצירתי
"Universal Analytics","ניתוח אוניברסלי"
"Google Tag Manager","ניהול גוגל תג"
"Account type","סוג חשבון"
"Container Id","מזהה עבור מכולה"
"List property for the catalog page","רשימות מאפיין עבור עמוד קטלוג"
"List property for the cross-sell block","רשימת מאפיין עבור בלוק צולב"
"List property for the up-sell block","רשימת מאפיין עבור בלוק מוצרים נמכרים"
"List property for the related products block","המאפיין רשימה עבור בלוק מוצרים מקושרים"
"List property for the search results page","רשמת מאפיין עבור עמוד תוצאות החיפוש"
"’Internal Promotions’ for promotions field “Label”.","""קידום פנימי' עבור קידומי מכירות בשדה ""תווית""."
"Grouped Products","מוצרים מקובצים"
"Please specify the quantity of product(s).","נא לציין את כמות המוצרים."
"Cannot process the item.","אין אפשרות לעבד את הפריט."
"Add Products to Group","הוספת מוצרים לקבוצת"
"A grouped product is made up of multiple, standalone products that are presented as a group. You can offer variations of a single product, or group them by season or theme to create a coordinated set. Each product can be purchased separately, or as part of the group.","מוצר מקובץ מורכב מאוסף מוצרים יחידים המוצגים כקבוצה. ניתן להציע וריאציות שונות של מוצר יחיד, או לקבצם לפי עונה או עיצוב על מנת ליצור סט מתואם. ניתן לרכוש כל מוצר בנפרד, או כחלק מהקבוצה."
"There are no grouped products.","לא קיימים מוצרים מקובצים."
"Default Qty","כמות ברירת מחדל"
"Starting at","החל מ"
"Grouped product items","פריטי מוצר מקובץ"
"Grouped Product Image","תמונת מוצר מקובץ"
"Export Settings","הגדרות ייצוא"
"Entity Type","סוג הישות"
"Export File Format","פורמט קובץ ייצוא"
"We can't filter an attribute with no attribute options.","איננו יכולים לסנן את תכונה בלי אפשרויות לתכונה."
Filter,סינון
"Unknown attribute filter type","סוג סינון תכונה לא ידוע"
"Check Data","בדוק נתונים"
"Import Settings","הגדרות ייבוא"
"Import Behavior","התנהגות ייבוא"
"Field separator","מפריד השדות"
"Multiple value separator","מפריד ערכים מרובים"
"File to Import","קובץ לייבוא"
"Select File to Import","בחירת קובץ לייבוא"
"Download Sample File","הורדת קובץ לדוגמה"
Import/Export,ייבוא/ייצוא
"Import History","היסטורית ייבוא"
"Import history","היסטורית ייבוא"
"The file is valid, but we can't import it for some reason.","הקובץ תקין, אך אסור לנו לייבא אותו מסיבה כלשהי."
"Following Error(s) has been occurred during importing process:","כבר אירעו שגיאות במהלך תהליך הייבוא:"
"in row(s):",בשורות:
"Make sure your file isn't more than %1M.","ודא כי הקובץ שלך לא שוקל יותר מאשר %1M."
"We can't provide the upload settings right now.","אין באפשרותנו לספק את הגדרות ההעלאה עכשיו."
"Begin export of %1","התחל ייצוא של %1"
"We can't determine the attribute filter type.","אין לנו אפשרות לקבוע את המסנן של סוג התכונה."
"We can't identify this file format.","איננו יכולים לזהות פורמט לקובץ זה."
"Destination file is not writable","קובץ היעד אינו ניתן לכתיבה"
"in row(s)",בשורה
"The validation is complete.","האימות הושלם."
"This file does not contain any data.","קובץ זה אינו מכיל נתונים."
"The import was successful.","היבוא הצליח."
"The source is not set.","המקור אינו מוגדר."
"'%1' file extension is not supported","סיומת הקובץ '%1' אינו חוקי"
Add/Update,הוספה/עדכון
Replace,החלפה
"URL key for specified store already exists.","מזהה הכתובת עבור החנות שצוינה כבר בשימוש."
"Start Date&Time","תאריך וזמן התחלה"
User,משתמש
"Error File","קובץ השגיאות"
"Indexer Management","ניהול אינדקסים"
"Update by Schedule","עדכון על פי לוח הזמנים"
"Update on Save","עדכון בעת שמירה"
"Reindex required","נדרש אינדוקס מחדש"
Ready,מוכן
Processing,מעבד
"%1 index is locked by another reindex process. Skipping.","%1 אינדקס נעול על-ידי תהליך אחר אשר מאונדקס. מדלג."
"Index Management","ניהול אינדקס"
"Please select indexers.","אנא בחר מאנדקסים."
"%1 indexer(s) are in ""Update by Schedule"" mode.","%1 מאנדקס/ים נמצאים במצב ""עדכון מתוזמן""."
"We couldn't change indexer(s)' mode because of an error.","לא ניתן לשנות את מצב המאנדקס/ים עקב שגיאה."
"%1 indexer(s) are in ""Update on Save"" mode.","%1 מאנדקס/ים נמצאים במצב ""עדכון בעת שמירה""."
"Field '%1' not found","שדה '%1' לא נמצא"
"Test Phrase","בחן ביטוי"
"Change indexer mode","שינוי מצב בונה האינדקסים"
Indexer,מאנדקס
Mode,מצב
"Payment method is not defined for instance purchase.","שיטת התשלום אינה מוגדרת עבור רכישה."
"Shipping address is not defined for instance purchase.","שיטת התשלום אינה מוגדרת עבור רכישה."
"Billing address is not defined for instance purchase.","כתובת לחיוב אינה מוגדרת עבור רכישה."
